Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
06/09/2020,06/07/2020,06/24/2020,Bay Club El Segundo,El Segundo,Los Angeles County,213,Layoff Permanent
05/29/2020,05/30/2020,06/24/2020,"CSU Northridge, University Student Union",Northridge,Los Angeles County,137,Closure Temporary
03/31/2020,03/31/2020,06/24/2020,SAS Restaurant Ventures DBA Denny's,Barstow,San Bernardino County,1,Closure Permanent
06/05/2020,04/18/2020,06/24/2020,Borrego Community Health Foundation,El Cajon,San Diego County,28,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Fairbanks Ranch Country Club,Rancho Santa Fe,San Diego County,127,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Bay Club Carmel Valley,San Diego,San Diego County,239,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Bay Club Financial District,San Francisco,San Francisco County,28,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,The Bay Club Company,Burlingame,San Mateo County,7,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Boulder Ridge Golf Club,San Jose,Santa Clara County,34,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Bay Club Courtside,Los Gatos,Santa Clara County,294,Layoff Permanent
04/21/2020,03/18/2020,06/24/2020,North East Medical Services,San Jose,Santa Clara County,38,Layoff Temporary
06/03/2020,03/29/2020,06/24/2020,"Godiva Chocolatier, Inc",Camarillo,Ventura County,11,Layoff Temporary
06/11/2020,06/30/2020,06/24/2020,Sofitel Hotels and Resorts,Los Angeles,Los Angeles County,215,Layoff Permanent
04/08/2020,03/29/2020,06/24/2020,"F21 OpCo, LLC - Forever 21",Los Angeles,Los Angeles County,294,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,"Robert A. Smith, Inc. (BMW, and Volvo)",Calabasas,Los Angeles County,55,Layoff Temporary
06/09/2020,04/04/2020,06/24/2020,"iHeartMedia + Entertainment, Inc. andiHeartMedia Management Services, Inc.",San Francisco,San Francisco County,42,Layoff Temporary
06/12/2020,06/15/2020,06/23/2020,"Anthony, Inc.",Sylmar,Los Angeles County,474,Layoff Temporary
06/11/2020,06/12/2020,06/23/2020,Connected Apparel Company LLC,Commerce,Los Angeles County,32,Layoff Unknown at thistime
05/06/2020,04/16/2020,06/23/2020,Pico Cleaners,Los Angeles,Los Angeles County,53,Layoff Temporary
05/06/2020,04/16/2020,06/23/2020,Pico Valet,Culver City,Los Angeles County,91,Layoff Temporary
06/11/2020,03/18/2020,06/23/2020,Scalzo Hospitality dba Park View Inn and ColdStone Creamery,Anaheim,Orange County,37,Layoff Temporary
06/11/2020,03/18/2020,06/23/2020,Scalzo Hospitality dba Park Vue Inn & ColdStone Creamery,Anaheim,Orange County,37,Layoff Temporary
06/05/2020,04/11/2020,06/23/2020,Borrego Community Health Foundation,Escondido,San Diego County,23,Layoff Permanent
06/09/2020,07/09/2020,06/23/2020,"Synapse Financial Technologies, Inc",San Francisco,San Francisco County,63,Layoff Permanent
06/23/2020,06/14/2020,06/23/2020,"Eaton - Joslyn Sunbank Co., LLC",Paso Robles,San Luis Obispo County,1,Layoff Temporary
05/26/2020,06/01/2020,06/22/2020,Princess Cruise Lines Ltd,Santa Clarita,Los Angeles County,601,Layoff Permanent
06/08/2020,06/15/2020,06/22/2020,Sunroad Bcv Auto Inc,El Cajon,San Diego County,1,Layoff Permanent
05/27/2020,05/15/2020,06/22/2020,nVent Thermal LLC,Redwood City,San Mateo County,50,Layoff Temporary
04/14/2020,03/27/2020,06/22/2020,Sysco Sacramento,Pleasant Grove,Sutter County,93,Layoff Temporary
04/14/2020,03/27/2020,06/22/2020,Sysco Sacramento,Pleasant Grove,Sutter County,95,Layoff Temporary
06/11/2020,06/12/2020,06/22/2020,Guhring Inc,Huntington Beach,Orange County,10,Closure Permanent
06/05/2020,03/17/2020,06/22/2020,"Decker Electric Co., Inc.",Petaluma,Sonoma County,4,Layoff Temporary
04/29/2020,05/13/2020,06/19/2020,"Sunroad KM Chevrolet, LLC. - Kearny MesaChevrolet",San Diego,San Diego County,6,Layoff Permanent
04/29/2020,05/13/2020,06/19/2020,Sunroad MV Auto Inc./San Diego ChryslerDodge Jeep Ram,San Diego,San Diego County,8,Layoff Permanent
04/06/2020,04/07/2020,06/18/2020,"Four Seasons Hotels Corporate Services, Incdba Four Seasons Resort Bora Bora",Beverly Hills,Los Angeles County,3,Layoff Temporary
06/08/2020,06/30/2020,06/18/2020,AEG Global Partnerships LLC,Los Angeles,Los Angeles County,1,Layoff Temporary
06/08/2020,06/30/2020,06/18/2020,Anschutz Entertainment Group Inc,Los Angeles,Los Angeles County,13,Layoff Temporary
06/08/2020,06/30/2020,06/18/2020,Anschutz Entertainment Group Inc,Los Angeles,Los Angeles County,18,Layoff Permanent
05/08/2020,06/30/2020,06/18/2020,AEG Global Partnerships LLC,Los Angeles,Los Angeles County,9,Layoff Permanent
06/09/2020,07/01/2020,06/18/2020,Auctions.com,Irvine,Orange County,67,Layoff Permanent
06/10/2020,06/10/2020,06/18/2020,"Weartech International, Inc.",Anaheim,Orange County,56,Closure Permanent
06/05/2020,07/31/2020,06/18/2020,"Visiting Nurse Association of the InlandCounties, DBA VNA California",Riverside,Riverside County,125,Closure Permanent
06/10/2020,06/10/2020,06/18/2020,P.F. Chang's China Bistro,Sacramento,Sacramento County,63,Closure Temporary
06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,Borrego Springs,San Diego County,6,Layoff Permanent
06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,La Mesa,San Diego County,1,Layoff Permanent
06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,San Diego,San Diego County,17,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,Maderas Partners/Maderas Golf Club,Poway,San Diego County,2,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,PH Automotive Holding Corp Pacific Honda,San Diego,San Diego County,1,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,Sunroad Auto LLC Ford and Kia,San Diego,San Diego County,2,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,Sunroad Cv Auto Inc Toyota,Chula Vista,San Diego County,2,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,Sunroad Hs Auto Svc/KM Hyundia Subaru,San Diego,San Diego County,3,Layoff Permanent
06/09/2020,08/09/2020,06/18/2020,"24 Hour Fitness, USA, Inc.",Carlsbad,San Diego County,37,Layoff Permanent
03/20/2020,03/18/2020,06/18/2020,"TLC Cocina LLC, dba The Little Chihuahua",San Francisco,San Francisco County,2,Layoff Permanent
06/05/2020,06/26/2020,06/18/2020,Den-Mat Holdings LLC,Lompoc,Santa Barbara County,6,Layoff Permanent
