Notice_Date,Effective_Date,Received_Date,Company,City,County,No_employees,Layoff/Closure
6/4/18,8/3/18,6/7/18,U.S. Bank,Irvine,Orange County,60.0,Closure Permanent
5/31/18,9/2/18,6/8/18,"Sears, Roebuck and Co.",City of Industry,Los Angeles,51.0,Closure Permanent
6/11/18,8/8/18,6/11/18,Impax Laboratories LLC,Hayward,Alameda County,533.0,Closure Permanent
6/7/18,6/1/18,6/12/18,Cedars-Sinai,Los Angeles,Los Angeles,187.0,Layoff Permanent
6/12/18,8/15/18,6/18/18,Antelope Valley Hospital,Palmdale,Los Angeles,137.0,Layoff Permanent
6/13/18,8/14/18,6/18/18,"Land O Lakes, Inc.",Tulare,Tulare County,84.0,Layoff unknown at this time
5/10/18,7/9/18,6/18/18,Molina Healthcare of California,Long Beach,Los Angeles,106.0,Layoff Permanent
6/11/18,8/11/18,6/18/18,Onestop Internet Inc.,El Segundo,Los Angeles,69.0,Closure Permanent
6/11/18,8/11/18,6/18/18,Onestop Internet Inc.,Rancho,Los Angeles,56.0,Closure Permanent
6/12/18,8/13/18,6/18/18,Qualcomm Incorporated,San Diego,San Diego County,17.0,Layoff unknown at this time
6/12/18,8/13/18,6/18/18,Qualcomm Incorporated,San Jose,Santa Clara,26.0,Layoff unknown at this time
5/30/18,7/16/18,6/18/18,"RHI, Inc. dba Robertson Honda",North Hollywood,Los Angeles,119.0,Closure unknown at this time
6/14/18,8/14/18,6/19/18,"AT&T Communications, Inc.",Cerritos,Los Angeles,107.0,Layoff Permanent
6/14/18,8/14/18,6/19/18,Crystal Jade Jiang Nan LLC,San Francisco,San Francisco,77.0,Closure Permanent
6/15/18,8/14/18,6/19/18,"Tesla, Inc.",Fremont,Alameda County,420.0,Layoff Permanent
6/15/18,8/14/18,6/19/18,"Tesla, Inc.",Palo Alto,Santa Clara,86.0,Layoff Permanent
6/14/18,8/10/18,6/20/18,"ECS Refining, Inc.",Stockton,San Joaquin,159.0,Closure Permanent
6/19/18,6/29/18,6/21/18,"CH2M HILL Engineers, Inc.",San Jose,Santa Clara,88.0,Layoff Permanent
6/18/18,8/17/18,6/21/18,Rexam Beverage Can Company,Chatsworth,Los Angeles,107.0,Closure Permanent
6/21/18,9/12/18,6/22/18,"G2 Secure Staff, LLC",Los Angeles,Los Angeles,219.0,Layoff Permanent
4/15/18,6/15/18,6/22/18,NPL,San Diego,San Diego County,1.0,Closure unknown at this time
6/12/18,8/1/18,6/25/18,Community Bank,Pasadena,Los Angeles,37.0,Layoff Permanent
6/20/18,7/13/18,6/25/18,Symantec Corporation,Mountain View,Santa Clara,8.0,Layoff Permanent
5/23/17,7/28/17,6/25/18,Warner Music Inc.,Burbank,Los Angeles,57.0,Layoff Permanent
6/21/18,8/19/18,6/25/18,Wells Fargo,Irvine,Orange County,67.0,Closure unknown at this time
8/3/17,11/1/17,6/26/18,Chemring Energetic Devices,Torrance,Los Angeles,81.0,Closure Permanent
6/20/18,8/20/18,6/26/18,Globalfoundries U.S. Inc.,Santa Clara,Santa Clara,87.0,Layoff Permanent
6/22/18,9/3/18,6/26/18,Kings Fish House Calabasas,Calabasas,Los Angeles,89.0,Closure Temporary
6/26/18,6/26/18,6/27/18,"Banc of California, N.A.",Brea,Orange County,1.0,Layoff Permanent
6/26/18,6/26/18,6/27/18,"Banc of California, N.A.",Los Angeles,Los Angeles,10.0,Layoff Permanent
6/26/18,6/26/18,6/27/18,"Banc of California, N.A.",San Diego,San Diego County,2.0,Layoff Permanent
5/1/18,7/2/18,6/28/18,Credit.org/Springboard Solutions,Riverside,Riverside County,111.0,Closure Permanent
5/29/18,8/2/18,6/28/18,JCPenney,Buena Park,Orange County,98.0,Closure Permanent
6/27/18,8/26/18,6/28/18,Tri-City Healthcare District dba Tri-City,Oceanside,San Diego County,80.0,Closure unknown at this time
6/26/18,8/27/18,6/28/18,"Western Digital Technology, Inc.",San Jose,Santa Clara,79.0,Layoff Permanent
6/27/18,8/31/18,6/29/18,California Medical Business Services,Arcadia,Los Angeles,64.0,Closure Permanent
6/28/18,8/28/18,6/29/18,Deluxe Entertainment Services Group Inc.,Burbank,Los Angeles,2.0,Layoff Permanent
6/27/18,6/27/18,6/29/18,eBay Inc.,Brisbane,San Mateo County,5.0,Layoff Permanent
6/27/18,6/27/18,6/29/18,eBay Inc.,San Francisco,San Francisco,41.0,Layoff Permanent
6/27/18,6/27/18,6/29/18,eBay Inc.,San Jose,Santa Clara,228.0,Layoff Permanent
6/29/18,8/28/18,7/2/18,"Dream Center Education Holdings, LLC",Alameda,Alameda County,78.0,Closure Permanent
6/29/18,8/28/18,7/2/18,"Dream Center Education Holdings, LLC",Ontario,San Bernardino,88.0,Closure Permanent
6/29/18,8/28/18,7/2/18,"Dream Center Education Holdings, LLC",Sacramento,Sacramento,124.0,Closure Permanent
6/29/18,8/28/18,7/2/18,"Dream Center Education Holdings, LLC",San Bernardino,San Bernardino,110.0,Closure Permanent
6/29/18,8/28/18,7/2/18,"Dream Center Education Holdings, LLC",San Francisco,San Francisco,138.0,Closure Permanent
6/29/18,8/28/18,7/2/18,"Dream Center Education Holdings, LLC",Santa Ana,Orange County,161.0,Closure Permanent
6/29/18,8/31/18,7/3/18,Alaska USA Federal Credit Union,Apple Valley,San Bernardino,135.0,Closure Permanent
7/3/18,8/31/18,7/5/18,"Bethesda Lutheran Communities, Inc.",Redding,Shasta County,34.0,Closure Permanent
6/29/18,8/31/18,7/6/18,"Eagle Intermodal Services, Inc.",San Bernardino,San Bernardino,262.0,Closure Permanent
6/28/18,9/30/18,7/6/18,"Sears, Roebuck and Co.",Newark,Alameda County,8.0,Closure Permanent
6/28/18,9/30/18,7/6/18,"Sears, Roebuck and Co.",Newark,Alameda County,46.0,Closure Permanent
7/5/18,9/3/18,7/9/18,Minson Corporation,Montebello,Los Angeles,113.0,Closure Permanent
6/28/18,6/28/18,7/9/18,"Space Systems/Loral, LLC",Palo Alto,Santa Clara,109.0,Layoff Permanent
7/5/18,9/10/18,7/10/18,"Apple Gilroy, Inc.",Milpitas,Santa Clara,51.0,Closure Permanent
7/9/18,9/10/18,7/10/18,"Aqua Metals, Inc.",Alameda,Alameda County,12.0,Closure Permanent
7/6/18,9/7/18,7/10/18,"FHI, LLC",Riverside,Riverside County,115.0,Closure Permanent
7/9/18,9/10/18,7/11/18,"Cavium, Inc.",Irvine,Orange County,35.0,Layoff Permanent
7/9/18,9/10/18,7/11/18,"Cavium, Inc.",Roseville,Placer County,3.0,Layoff Permanent
7/9/18,9/10/18,7/12/18,"Marvell Semiconductor, Inc.",Aliso Viejo,Orange County,1.0,Layoff Permanent
7/9/18,9/10/18,7/12/18,"Marvell Semiconductor, Inc.",Santa Clara,Santa Clara,44.0,Layoff Permanent
4/11/18,6/11/18,7/12/18,"Theranos, Inc.",Newark,Alameda County,125.0,Layoff Permanent
6/26/18,6/26/18,7/16/18,"Banc of California, N.A.",Santa Ana,Orange County,45.0,Layoff Permanent
7/11/18,9/12/18,7/16/18,"Novartis Institutes for BioMedical Research, Inc.",Emeryville,Alameda County,149.0,Closure Permanent
6/12/18,9/17/18,7/18/18,"Golden State Overnight Delivery Service, Inc.",Gardena,Los Angeles,72.0,Layoff Permanent
7/13/18,9/11/18,7/18/18,Hub Group,Perris,Riverside County,6.0,Layoff unknown at this time
4/30/18,6/29/18,7/18/18,"Taylor Communications, Inc.",Livermore,Alameda County,37.0,Closure Permanent
7/13/18,10/31/18,7/18/18,The J.M. Smucker Company,San Francisco,San Francisco,100.0,Closure Permanent
6/12/18,9/17/18,7/19/18,"Golden State Overnight Delivery Service, Inc.",Santa Ana,Orange County,66.0,Layoff Permanent
7/12/18,10/1/18,7/19/18,Ingredion Incorporated,Stockton,San Joaquin,65.0,Layoff Permanent
7/12/18,10/14/18,7/19/18,Kmart Corporation,Goleta,Santa Barbara,146.0,Closure Permanent
7/18/18,9/17/18,7/20/18,"iPayment, Inc.",Westlake Village,Ventura County,30.0,Layoff Permanent
7/17/18,9/15/18,7/20/18,"Wind River Systems, Inc.",Alameda,Alameda County,64.0,Layoff Permanent
7/19/18,9/15/18,7/23/18,Fresno Economic Opportunities Commission,Fresno,Fresno County,47.0,Layoff unknown at this time
7/17/18,10/1/18,7/23/18,ITW Bay Area Label,San Jose,Santa Clara,54.0,Closure Permanent
7/17/18,9/21/18,7/23/18,"Swissport SA, LLC",Los Angeles,Los Angeles,829.0,Layoff Permanent
7/24/18,9/30/18,7/24/18,"Hakkasan Holdings, LLC, d/b/a Hakkasan Group",West Hollywood,Los Angeles,99.0,Closure Permanent
7/17/18,7/17/18,7/24/18,"Performance Chevrolet, Inc.",Sacramento,Sacramento,1.0,Layoff unknown at this time
7/24/18,9/23/18,7/25/18,"P.F. Changs China Bistro, lnc.",El Segundo,Los Angeles,94.0,Closure Permanent
7/25/18,9/23/18,7/25/18,"Stearns Lending, LLC",Santa Ana,Orange County,136.0,Closure Permanent
7/25/18,9/24/18,7/26/18,"Cavium, Inc.",San Jose,Santa Clara,7.0,Layoff Permanent
7/25/18,9/23/18,7/26/18,"DaVita Rx, LLC d/b/a DaVita Rx",San Bruno,San Mateo County,32.0,Closure Permanent
7/27/18,10/6/18,7/27/18,Best Buy,Long Beach,Los Angeles,68.0,Closure Permanent
7/27/18,9/30/18,7/27/18,"MV Transportation, Inc.",Visalia,Tulare County,135.0,Layoff Permanent
7/27/18,9/25/18,7/30/18,"6417 Selma Hotel, LLC",Los Angeles,Los Angeles,81.0,Layoff Permanent
7/27/18,8/31/18,7/30/18,Bay Club Howard Hughes,Los Angeles,Los Angeles,100.0,Closure Permanent
7/26/18,9/24/18,7/31/18,Ant Farm,Los Angeles,Los Angeles,80.0,Closure Permanent
7/23/18,7/2/18,7/31/18,"DW Berry Farms, LLC",Oxnard,Ventura County,380.0,Layoff Permanent
7/25/18,8/3/18,7/31/18,"Mattel, Inc.",El Segundo,Los Angeles,140.0,Layoff Permanent
8/1/18,9/30/18,8/1/18,"BMA Car Wash, Inc.",Canoga Park,Los Angeles,47.0,Closure Permanent
7/25/18,9/27/18,8/2/18,Pyramid Petaluma Management L.P.,Petaluma,Sonoma County,89.0,Layoff Permanent
8/1/18,9/30/18,8/2/18,"Trinity Christian Center of Santa Ana, Inc.",Tustin,Orange County,166.0,Layoff Permanent
8/1/18,10/1/18,8/3/18,DJO Global,Vista,San Diego County,187.0,Layoff Permanent
7/30/18,9/26/18,8/3/18,National Steel and Shipbuilding Company,San Diego,San Diego County,1493.0,Layoff unknown at this time
7/31/18,10/31/18,8/7/18,Oxnard Lemon Company,Oxnard,Ventura County,155.0,Layoff Permanent
8/8/18,10/7/18,8/9/18,"Everyone Counts, Inc.",La Jolla,San Diego County,18.0,Layoff Permanent
7/26/18,8/31/18,8/9/18,"Genentech, Inc. and Genentech USA, Inc.",South San,San Mateo County,223.0,Layoff Permanent
8/9/18,11/9/18,8/9/18,"Warner Media, LLC",Burbank,Los Angeles,2.0,Layoff Permanent
8/3/18,10/3/18,8/10/18,Apttus,San Mateo,San Mateo County,65.0,Layoff Permanent
7/31/18,7/31/18,8/10/18,"ISI Detention Contracting Group, Inc. dba Argyle",Orange,Orange County,27.0,Closure Permanent
8/18/18,10/7/18,8/13/18,Kings Fish House Carlsbad,Carlsbad,San Diego County,86.0,Closure Temporary
8/10/18,10/12/18,8/15/18,CODAN US Corporation,Santa Ana,Orange County,98.0,Layoff Permanent
8/16/18,10/15/18,8/16/18,"AwesomenessTV Holdings, LLC",Santa Monica,Los Angeles,98.0,Layoff Permanent
8/9/18,9/3/18,8/16/18,"MIDA Industries, Inc.",Fremont,Alameda County,55.0,Layoff unknown at this time
8/16/18,10/15/18,8/17/18,Archer Norris,Los Angeles,Los Angeles,18.0,Closure Permanent
8/16/18,10/15/18,8/17/18,Archer Norris,Newport Beach,Orange County,2.0,Closure Permanent
8/16/18,10/15/18,8/17/18,Archer Norris,San Francisco,San Francisco,7.0,Closure Permanent
8/16/18,10/15/18,8/17/18,Archer Norris,Walnut Creek,Contra Costa,97.0,Closure Permanent
8/16/18,10/16/18,8/17/18,Deluxe Entertainment Services Group Inc.,Burbank,Los Angeles,22.0,Layoff Permanent
8/16/18,10/16/18,8/17/18,Deluxe Entertainment Services Group Inc.,Burbank,Los Angeles,24.0,Layoff Permanent
8/20/18,10/19/18,8/20/18,AT&T,San Ramon,Contra Costa,59.0,Layoff Permanent
8/20/18,10/19/18,8/20/18,"Global Cash Card, Inc.",Irvine,Orange County,228.0,Layoff Permanent
8/16/18,10/20/18,8/21/18,"Jacobson Warehouse Company, Inc. dba XPO",Tracy,San Joaquin,74.0,Closure Permanent
8/20/18,10/19/18,8/21/18,Mayfield Robotics,Redwood City,San Mateo County,63.0,Closure Permanent
8/14/18,3/31/19,8/21/18,"Peter Brasseler Holdings, LLC",Ventura,Ventura County,56.0,Closure Permanent
8/10/18,10/15/18,8/21/18,Target,San Bernardino,San Bernardino,108.0,Closure Permanent
8/14/18,11/16/18,8/22/18,"Banc of California, N.A.",Santa Ana,Orange County,4.0,Closure Permanent
8/14/18,11/16/18,8/22/18,"Banc of California, N.A.",Whittier,Los Angeles,5.0,Closure Permanent
8/21/18,10/20/18,8/22/18,"Orchard Supply Company, LLC",Tracy,San Joaquin,249.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Capitola,Santa Cruz,52.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Chico,Butte County,54.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Concord,Contra Costa,50.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Goleta,Santa Barbara,56.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Los Angeles,Los Angeles,137.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Modesto,Stanislaus County,59.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Mountain View,Santa Clara,57.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Pasadena,Los Angeles,125.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",San Jose,Santa Clara,406.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",San Leandro,Alameda County,57.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",San Rafael,Marin County,50.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Thousand Oaks,Ventura County,57.0,Closure Permanent
8/21/18,10/20/18,8/23/18,"Orchard Supply Company, LLC",Torrance,Los Angeles,52.0,Closure Permanent
7/16/18,8/22/18,8/24/18,Symantec Corporation,Mountain View,Santa Clara,20.0,Layoff Permanent
7/9/18,9/10/18,8/27/18,"Cavium, Inc.",San Jose,Santa Clara,41.0,Layoff Permanent
8/27/18,10/19/18,8/28/18,Menzies Aviation,San Francisco,San Francisco,172.0,Layoff Permanent
8/28/18,12/1/18,8/28/18,Novanta,San Jose,Santa Clara,42.0,Layoff Permanent
8/20/18,10/21/18,8/28/18,Silgan Containers,Modesto,Stanislaus County,86.0,Layoff Temporary
8/20/18,10/21/18,8/28/18,Silgan Containers,Modesto,Stanislaus County,95.0,Layoff Temporary
8/21/18,10/22/18,8/28/18,Silgan Containers,Riverbank,Stanislaus County,157.0,Layoff Temporary
8/21/18,11/25/18,8/29/18,Kmart Corporation,Clovis,Fresno County,64.0,Closure Permanent
8/21/18,11/25/18,8/29/18,Kmart Corporation,Los Angeles,Los Angeles,120.0,Closure Permanent
8/22/18,11/25/18,8/29/18,Kmart Corporation,Antioch,Contra Costa,68.0,Closure Permanent
8/28/18,10/30/18,8/31/18,Allstate Insurance Company,San Diego,San Diego County,58.0,Closure Permanent
6/27/18,8/31/18,8/31/18,California Medical Business Services,Arcadia,Los Angeles,59.0,Closure Permanent
7/18/18,9/21/18,8/31/18,"Golden State Overnight Delivery Service, Inc.",Santa Fe,Los Angeles,74.0,Layoff Permanent
7/27/18,9/28/18,8/31/18,"Golden State Overnight Delivery Service, Inc.",Ontario,San Bernardino,84.0,Layoff Permanent
8/31/18,10/31/18,8/31/18,"InterContinental Hotels Group Resources, Inc.",San Francisco,San Francisco,186.0,Layoff Permanent
8/31/18,10/30/18,8/31/18,"Rainbow Disposal Co., Inc.",Huntington,Orange County,71.0,Layoff Permanent
8/20/18,10/22/18,8/31/18,Silgan Containers,Modesto,Stanislaus County,62.0,Layoff Temporary
8/2/18,10/3/18,9/4/18,"Golden State Overnight Delivery Service, Inc.",San Diego,San Diego County,52.0,Layoff Permanent
8/29/18,12/15/18,9/4/18,ThredUp Inc.,San Leandro,Alameda County,118.0,Closure Permanent
9/4/08,9/4/18,9/6/18,Adventist Health St. Helena,Saint Helena,Napa County,5.0,Layoff Permanent
9/6/18,9/13/18,9/6/18,"Carbine, LLC",Aliso Viejo,Orange County,47.0,Layoff unknown at this time
9/4/18,12/31/18,9/6/18,Extreme Logistics Solutions Inc.,Victorville,San Bernardino,56.0,Closure Permanent
9/6/18,11/5/18,9/6/18,Peninsula Packaging,Hollister,San Benito County,156.0,Closure Permanent
9/4/18,10/30/18,9/6/18,"Renovate America, Inc.",San Diego,San Diego County,83.0,Layoff Permanent
9/6/18,11/8/18,9/7/18,Brinderson,Martinez,Contra Costa,98.0,Layoff Permanent
9/4/18,9/4/18,9/7/18,Meta Company,San Mateo,San Mateo County,88.0,Layoff Temporary
9/7/18,11/12/18,9/7/18,Silgan Containers,Sacramento,Sacramento,49.0,Layoff Temporary
9/7/18,11/9/18,9/11/18,"Super Rx, Inc.",Encinitas,San Diego County,11.0,Closure Permanent
9/7/18,11/9/18,9/11/18,"Super Rx, Inc.",Fullerton,Orange County,12.0,Closure Permanent
9/7/18,11/9/18,9/11/18,"Super Rx, Inc.",Palm Springs,Riverside County,40.0,Closure Permanent
9/7/18,11/9/18,9/11/18,"Super Rx, Inc.",San Bernardino,San Bernardino,35.0,Closure Permanent
9/13/18,11/16/18,9/13/18,CoreLogic,Los Angeles,Los Angeles,60.0,Closure Permanent
5/1/18,7/2/18,9/13/18,Credit.org/Springboard Solutions,Riverside,Riverside County,214.0,Closure Permanent
9/6/18,12/9/18,9/13/18,Kmart Corporation,Pinole,Contra Costa,67.0,Closure Permanent
9/13/18,11/4/18,9/13/18,Savers,Milpitas,Santa Clara,54.0,Closure Permanent
9/14/18,12/14/18,9/17/18,"Conduent Education Services, LLC",Long Beach,Los Angeles,20.0,Layoff Permanent
9/12/18,11/13/18,9/19/18,"Addepar, Inc.",Mountain View,Santa Clara,20.0,Layoff Permanent
9/19/18,12/31/18,9/19/18,"Entegris, Inc.",San Diego,San Diego County,16.0,Closure Permanent
8/3/18,10/3/18,9/19/18,"Golden State Overnight Delivery Service, Inc.",Santa Clarita,Los Angeles,67.0,Layoff Permanent
9/19/18,12/31/18,9/19/18,"Hollar, Inc.",Commerce,Los Angeles,23.0,Layoff Permanent
9/18/18,3/19/19,9/19/18,Masonite Corporation,Stockton,San Joaquin,131.0,Closure Permanent
9/19/18,11/20/18,9/19/18,Qualcomm Incorporated,San Diego,San Diego County,94.0,Layoff unknown at this time
9/19/18,9/30/18,9/19/18,"VeriFone, Inc.",San Jose,Santa Clara,69.0,Layoff Permanent
9/19/18,11/20/18,9/20/18,Color Spot Nurseries,Carson,Los Angeles,52.0,Closure Permanent
9/19/18,9/14/18,9/20/18,"Vital Therapies, Inc.",San Diego,San Diego County,83.0,Layoff Permanent
2/5/18,4/1/18,9/21/18,Adventist Health Bakersfield,Bakersfield,Kern County,174.0,Layoff Permanent
9/21/18,11/19/18,9/24/18,Jabil Inc.,Fremont,Alameda County,343.0,Closure Temporary
9/21/18,11/19/18,9/24/18,Jabil Inc.,Livermore,Alameda County,92.0,Closure Temporary
9/17/18,1/15/19,9/26/18,"Jackpot Harvesting Company, Inc.",Gonzales,Monterey County,256.0,Closure Permanent
9/28/18,11/29/18,10/1/18,Aerojet Rocketdyne,Rancho Cordova,Sacramento,120.0,Layoff Permanent
9/28/18,11/30/18,10/1/18,"American Career College, Inc. - Lynwood",Lynwood,Los Angeles,11.0,Closure Permanent
10/1/18,11/26/18,10/1/18,"Century Blinds, Inc.",Corona,Riverside County,59.0,Closure Permanent
9/28/18,12/28/18,10/1/18,"Conduent Education Services, LLC",Long Beach,Los Angeles,18.0,Layoff Permanent
9/28/18,11/30/18,10/1/18,"IAP Worldwide Services, Inc.",Mcclellan,Sacramento,8.0,Layoff Permanent
4/25/18,6/22/18,10/1/18,Wells Fargo,Rancho,San Bernardino,86.0,Closure unknown at this time
10/1/18,3/29/19,10/2/18,"Alpine Electronics of America, Inc.",Torrance,Los Angeles,72.0,Layoff unknown at this time
10/1/18,3/29/19,10/2/18,"Alpine Electronics Research of America, Inc.",Torrance,Los Angeles,56.0,Layoff unknown at this time
9/28/18,12/2/18,10/2/18,Healthy Living Network,Newark,Alameda County,128.0,Closure Permanent
9/27/18,11/30/18,10/2/18,Twin Arbors Athletic Club,Lodi,San Joaquin,143.0,Closure Permanent
10/2/18,10/30/18,10/3/18,Adventist Health Bakersfield,Bakersfield,Kern County,20.0,Layoff Permanent
10/1/18,12/6/18,10/3/18,Brinderson,Carson,Los Angeles,110.0,Layoff Permanent
10/1/18,12/6/18,10/3/18,Brinderson,Wilmington,Los Angeles,115.0,Layoff Permanent
7/13/18,10/5/18,10/3/18,New Avon LLC,Pasadena,Los Angeles,77.0,Closure Permanent
9/7/18,11/6/18,10/3/18,Pyramid Building Maintenance Company DBA,Santa Clara,Santa Clara,11.0,Closure Permanent
9/27/18,11/30/18,10/3/18,State Farm Mutual Automobile Insurance,Roseville,Placer County,78.0,Closure Permanent
9/27/18,11/30/18,10/3/18,State Farm Mutual Automobile Insurance,Vallejo,Solano County,77.0,Closure Permanent
9/27/18,11/30/18,10/3/18,State Farm Mutual Automobile Insurance,Westlake Village,Ventura County,69.0,Closure Permanent
10/2/18,12/3/18,10/4/18,Bayer US LLC,Berkeley,Alameda County,227.0,Layoff Permanent
9/13/18,9/13/18,10/11/18,"NC Interactive, LLC",Aliso Viejo,Orange County,52.0,Layoff unknown at this time
2/6/18,4/7/18,10/15/18,Concentra Inc.,Valencia,Los Angeles,182.0,Layoff Permanent
10/4/18,12/31/18,10/15/18,Crispin Porter Bogusky LLC,Santa Monica,Los Angeles,13.0,Closure Permanent
10/1/18,11/30/18,10/15/18,"Nestle USA, Inc.",Bakersfield,Kern County,769.0,Closure Temporary
10/1/18,11/30/18,10/15/18,"Nestle USA, Inc.",Tulare,Tulare County,273.0,Closure Temporary
10/4/18,12/9/18,10/15/18,"Total Airport Services, LLC",El Segundo,Los Angeles,111.0,Closure Permanent
10/1/18,12/3/18,10/15/18,Urban Fulfillment Services,Westlake Village,Ventura County,85.0,Closure Permanent
10/10/18,12/13/18,10/16/18,Brinderson,Rodeo,Contra Costa,99.0,Layoff Permanent
10/5/18,10/12/18,10/16/18,"CareFusion Resources, LLC",San Diego,San Diego County,102.0,Layoff Permanent
10/10/18,12/10/18,10/16/18,Kaiser Foundation Hospitals,Corona,Riverside County,14.0,Layoff Permanent
10/10/18,12/10/18,10/16/18,Kaiser Foundation Hospitals,Oakland,Alameda County,10.0,Layoff Permanent
10/10/18,12/10/18,10/16/18,Kaiser Foundation Hospitals,Pasadena,Los Angeles,15.0,Layoff Permanent
10/10/18,12/10/18,10/16/18,Kaiser Foundation Hospitals,Pleasanton,Alameda County,49.0,Layoff Permanent
10/2/18,12/3/18,10/16/18,Kaiser Foundation Hospitals/Health Plan,Downey,Los Angeles,69.0,Closure Permanent
10/10/18,12/26/18,10/16/18,"Providence Industries, LLC",Long Beach,Los Angeles,96.0,Closure Temporary
10/10/18,12/10/18,10/16/18,"TDG Operations, LLC",Los Angeles,Los Angeles,60.0,Closure Permanent
10/3/18,12/4/18,10/17/18,Boardriders,Mira Loma,Riverside County,270.0,Layoff Temporary
10/11/18,12/24/18,10/17/18,"MD2 Industries, LLC",Long Beach,Los Angeles,158.0,Closure Temporary
10/9/18,12/31/18,10/17/18,"Warner Media, LLC",Burbank,Los Angeles,1.0,Layoff unknown at this time
10/11/18,12/26/18,10/18/18,"West Coast Warehouse, Inc.",Fontana,San Bernardino,18.0,Closure Permanent
10/18/18,12/18/18,10/19/18,Adventist Health Tehachapi Valley,Tehachapi,Kern County,1.0,Layoff Permanent
10/16/18,12/31/18,10/19/18,CTC myCFO,Palo Alto,Santa Clara,51.0,Layoff Permanent
10/18/18,12/20/18,10/19/18,Jabil Inc.,San Jose,Santa Clara,220.0,Closure Temporary
10/18/18,12/21/18,10/19/18,Jabil Inc.,Chula Vista,San Diego County,99.0,Closure Temporary
10/15/18,12/31/18,10/19/18,Kmart Corporation,Delano,Kern County,68.0,Closure Permanent
10/15/18,12/31/18,10/19/18,Kmart Corporation,Lemoore,Kings County,83.0,Closure Permanent
10/15/18,12/31/18,10/19/18,Kmart Corporation,Modesto,Stanislaus County,62.0,Closure Permanent
10/15/18,12/31/18,10/19/18,Kmart Corporation,Ontario,San Bernardino,59.0,Closure Permanent
10/15/18,12/31/18,10/19/18,Kmart Corporation,Placerville,El Dorado County,55.0,Closure Permanent
10/15/18,12/31/18,10/19/18,Kmart Corporation,Riverside,Riverside County,93.0,Closure Permanent
10/15/18,12/31/18,10/19/18,Kmart Corporation,Visalia,Tulare County,64.0,Closure Permanent
10/10/18,4/1/19,10/19/18,Los Amigos Harvesting,Watsonville,Santa Cruz,175.0,Closure Permanent
10/16/18,12/16/18,10/19/18,Metal Partners International,Bakersfield,Kern County,9.0,Closure Permanent
10/19/18,12/31/18,10/19/18,Raytheon Company,Fort Irwin,San Bernardino,57.0,Closure Permanent
10/15/18,12/31/18,10/22/18,"Sears, Roebuck and Co.",Bakersfield,Kern County,106.0,Closure Permanent
10/15/18,12/31/18,10/22/18,"Sears, Roebuck and Co.",Cerritos,Los Angeles,101.0,Closure Permanent
10/15/18,12/31/18,10/22/18,"Sears, Roebuck and Co.",Costa Mesa,Orange County,19.0,Closure Permanent
10/15/18,12/31/18,10/22/18,"Sears, Roebuck and Co.",Costa Mesa,Orange County,106.0,Closure Permanent
10/15/18,12/31/18,10/22/18,"Sears, Roebuck and Co.",Montebello,Los Angeles,79.0,Closure Permanent
10/15/18,12/31/18,10/22/18,"Sears, Roebuck and Co.",Sacramento,Sacramento,5.0,Closure Permanent
10/15/18,12/31/18,10/22/18,"Sears, Roebuck and Co.",Sacramento,Sacramento,80.0,Closure Permanent
10/15/18,12/31/18,10/23/18,"Sears, Roebuck and Co.",Cerritos,Los Angeles,19.0,Closure Permanent
10/15/18,12/31/18,10/23/18,"Sears, Roebuck and Co.",El Centro,Imperial County,10.0,Closure Permanent
10/15/18,12/31/18,10/23/18,"Sears, Roebuck and Co.",El Centro,Imperial County,57.0,Closure Permanent
10/15/18,12/31/18,10/23/18,"Sears, Roebuck and Co.",Merced,Merced County,11.0,Closure Permanent
10/15/18,12/31/18,10/23/18,"Sears, Roebuck and Co.",Merced,Merced County,48.0,Closure Permanent
10/15/18,12/31/18,10/23/18,"Sears, Roebuck and Co.",Modesto,Stanislaus County,18.0,Closure Permanent
10/15/18,12/31/18,10/23/18,"Sears, Roebuck and Co.",Modesto,Stanislaus County,68.0,Closure Permanent
10/18/18,12/21/18,10/24/18,Bon Appetit,San Francisco,San Francisco,91.0,Closure Permanent
10/22/18,10/26/18,10/24/18,"DigiCert, Inc.",Mountain View,Santa Clara,73.0,Layoff Permanent
10/18/18,12/21/18,10/24/18,Jabil Inc.,San Jose,Santa Clara,562.0,Closure Temporary
