Notice_Date,Effective_Date,Received_Date,Company,City,County,No_employees,Layoff/Closure
08/20/2020,08/20/2020,08/25/2020,MemorialCare Medical Foundation dba MCMF,Fountain Valley,Orange County ,23,Layoff Permanent
08/14/2020,11/14/2020,08/25/2020,Warner Bros. Entertainment Inc.,Burbank,Los Angeles County ,540,Layoff Permanent
08/14/2020,11/14/2020,08/25/2020,Warner Bros. Entertainment Inc.,Sun Valley,Los Angeles County ,10,Layoff Permanent
08/19/2020,10/22/2020,08/25/2020,"Sky Chefs, Inc.",Costa Mesa,Orange County ,75,Layoff Permanent
08/14/2020,09/14/2020,08/25/2020,California Lutheran University,Thousand Oaks,Ventura County ,14,Layoff Temporary
08/17/2020,09/01/2020,08/25/2020,California Lutheran University,Thousand Oaks,Ventura County ,1,Layoff Permanent
05/06/2020,03/14/2020,08/24/2020,"Rag & Bone Industries and Rag Traders Retail, LLC",West Hollywood,Los Angeles County ,10,Layoff Temporary
04/08/2020,03/14/2020,08/24/2020,"Rag & Bone Industries, LLC",Los Angeles,Los Angeles County ,37,Layoff Temporary
07/17/2020,09/25/2020,08/24/2020,Triangle Distributing Co,Santa Fe Springs,Los Angeles County ,133,Closure Permanent
08/19/2020,11/16/2020,08/24/2020,"Delta Apparel, Inc.",Santa Fe Springs,Los Angeles County ,14,Layoff Temporary
08/14/2020,10/11/2020,08/24/2020,"Hi-Way Safety, Inc.",Napa,Napa County ,8,Closure Permanent
04/03/2020,03/30/2020,08/24/2020,Diamond Resorts Centralized,Capistrano Beach,Orange County ,73,Layoff Temporary
08/14/2020,08/14/2020,08/24/2020,Aerospace Jet Products,San Diego,San Diego County ,38,Layoff Permanent
08/13/2020,08/14/2020,08/24/2020,"Metro Shore Services, LLC",San Francisco,San Francisco County ,184,Layoff Permanent
08/14/2020,08/14/2020,08/24/2020,Hyatt House Emeryville,Emeryville,Alameda County ,95,Layoff Temporary
07/16/2020,09/14/2020,08/24/2020,Orora Visual LLC,Los Angeles,Los Angeles County ,1,Closure Permanent
04/06/2020,04/06/2020,08/24/2020,"Precision Founders, Inc - PCC Structurals",San Leandro,Alameda County ,117,Layoff Temporary
03/24/2020,03/13/2020,08/21/2020,Merritt Hospitality LLC-The Westin Pasadena Hotel,Pasadena,Los Angeles County ,114,Layoff Temporary
03/20/2020,03/20/2020,08/21/2020,GTA Restaurants LLC dba Via Alloro,Beverly Hills,Los Angeles County ,142,Layoff Unknown at this time
06/30/2020,07/31/2020,08/21/2020,"MDH-Day Program, Inc.",Whittier,Los Angeles County ,99,Layoff Permanent
07/14/2020,07/11/2020,08/21/2020,Live Nation Entertainment Inc,Beverly Hills,Los Angeles County ,2,Layoff Temporary
08/13/2020,08/03/2020,08/21/2020,IPIC Theaters LLC,Los Angeles,Los Angeles County ,101,Layoff Permanent
08/13/2020,08/03/2020,08/21/2020,IPIC Theaters LLC,Pasadena,Los Angeles County ,79,Layoff Permanent
08/19/2020,08/17/2020,08/21/2020,Harvey Mudd College,Claremont,Los Angeles County ,71,Layoff Temporary
08/16/2020,10/16/2020,08/21/2020,PepsiCo Sales Inc.,Beverly Hills,Los Angeles County ,156,Layoff Permanent
08/20/2020,08/18/2020,08/21/2020,Adventist Health Mendocino Coast,Fort Bragg,Mendocino County ,3,Layoff Permanent
06/26/2020,04/12/2020,08/21/2020,"LTF Club Management Company, LLC dba Life Time In Laguna Niguel",Laguna Niguel,Orange County ,284,Closure Temporary
08/20/2020,08/20/2020,08/21/2020,Memorial Health Services,Fountain Valley,Orange County ,30,Layoff Permanent
08/20/2020,08/20/2020,08/21/2020,Seaside Health Plan,Fountain Valley,Orange County ,3,Layoff Permanent
04/29/2020,04/29/2020,08/21/2020,RC Willey Home Furnishings - Rocklin,Rocklin,Placer County ,141,Layoff Temporary
04/29/2020,04/29/2020,08/21/2020,RC Willey Home Furnishings - Delta Shores,Sacramento,Sacramento County ,57,Layoff Temporary
08/13/2020,10/15/2020,08/21/2020,"Stellar Partners, Inc",San Diego,San Diego County ,22,Layoff Permanent
08/17/2020,08/15/2020,08/21/2020,George P. Johnson,San Francisco,San Francisco County ,46,Layoff Temporary
08/01/2020,08/01/2020,08/21/2020,"TCT Ventures Inc., dba Eurpoean Wax Center",Redwood City,San Mateo County ,19,Closure Temporary
04/24/2020,03/19/2020,08/21/2020,"Double Tree Berkeley-Crescent Resorts & Hotels, LLC",Berkeley,Alameda County ,126,Layoff Temporary
08/21/2020,10/20/2020,08/21/2020,Pebble Beach Company,Pebble Beach,Monterey County ,13,Layoff Permanent
08/13/2020,10/31/2020,08/21/2020,"Arc Machines, Inc",Panorama City,Los Angeles County ,40,Closure Permanent
03/30/2020,03/27/2020,08/21/2020,"California Closets Retail, Inc",Huntington Beach,Orange County ,31,Layoff Temporary
05/04/2020,04/03/2020,08/21/2020,"Systems Paving, Inc",Santa Ana,Orange County ,118,Layoff Temporary
04/30/2020,04/30/2020,08/21/2020,Evolution Hospitality - Hard Rock Hotel San Diego,San Diego,San Diego County ,421,Layoff Temporary
08/12/2020,09/30/2020,08/20/2020,"MV Transportation, Inc",Pinole,Contra Costa County ,2,Layoff Permanent
06/04/2020,06/04/2020,08/20/2020,"Unical Aviation, Inc.",City of Industry,Los Angeles County ,10,Layoff Permanent
04/20/2020,03/17/2020,08/20/2020,"Wood Ranch BBQ & Grill, Arcadia",Arcadia,Los Angeles County ,68,Closure Temporary
04/20/2020,03/17/2020,08/20/2020,"Wood Ranch BBQ & Grill, The Grove",Los Angeles,Los Angeles County ,91,Closure Temporary
07/27/2020,06/30/2020,08/20/2020,Sheraton Cerritos at Towne Center,Cerritos,Los Angeles County ,62,Layoff Permanent
07/28/2020,07/31/2020,08/20/2020,Larry Flynt's Hustler Casino,Gardena,Los Angeles County ,608,Layoff Permanent
08/07/2020,08/07/2020,08/20/2020,Mariott Laguna Cliffs Resort,Dana Point,Orange County ,16,Layoff Permanent
06/04/2020,06/04/2020,08/20/2020,"Unical MRO, Inc.",San Bernardino,San Bernardino County ,31,Layoff Permanent
08/10/2020,08/13/2020,08/20/2020,PH Automotive Holding Corporation-Pacific Honda,San Diego,San Diego County ,1,Layoff Permanent
08/10/2020,08/13/2020,08/20/2020,Sunroad Auto LLC-Kearny Mesa Ford & Kia,San Diego,San Diego County ,7,Layoff Permanent
08/10/2020,08/13/2020,08/20/2020,Sunroad BCV Auto Inc.-BMW of El Cajon,El Cajon,San Diego County ,2,Layoff Permanent
08/10/2020,08/13/2020,08/20/2020,"Sunroad KM Chevrolet, LLC-Kearny Mesa Chevrolet",San Diego,San Diego County ,1,Layoff Permanent
08/13/2020,07/30/2020,08/20/2020,Bon Appetit,San Francisco,San Francisco County ,62,Layoff Unknown at this time
08/13/2020,08/02/2020,08/20/2020,Gap Inc,San Francisco,San Francisco County ,79,Layoff Unknown at this time
07/28/2020,08/21/2020,08/20/2020,"Veritas Technologies, LLC.",Santa Clara,Santa Clara County ,74,Layoff Permanent
07/27/2020,07/27/2020,08/20/2020,"Compass Group USA, Inc. dba Chartwells at San Jose State University",San Jose,Santa Clara County ,56,Layoff Permanent
07/29/2020,03/20/2020,08/20/2020,DoubleTree by Hilton Sonoma Wine Country,Rohnert Park,Sonoma County ,49,Layoff Temporary
08/13/2020,07/29/2020,08/20/2020,Bon Appetit,San Francisco,San Francisco County ,1391,Layoff Unknown at this time
07/27/2020,08/13/2020,08/20/2020,"Sodexo, Inc",San Francisco,San Francisco County ,21,Layoff Permanent
08/10/2020,08/10/2020,08/20/2020,Hilton Hotel Employer LLC,San Jose,Santa Clara County ,126,Layoff Temporary
08/12/2020,03/20/2020,08/20/2020,Embassy Suites Employer,Sacramento,Sacramento County ,46,Layoff Temporary
08/10/2020,10/10/2020,08/20/2020,"Prompt Delivery, Inc., dba Southern California Messengers",Carlsbad,San Diego County ,45,Closure Permanent
08/10/2020,10/10/2020,08/20/2020,"Prompt Delivery, Inc., dba Southern California Messengers",National City,San Diego County ,71,Closure Permanent
08/10/2020,10/10/2020,08/20/2020,"Prompt Delivery, Inc., dba Southern California Messengers",San Diego,San Diego County ,65,Closure Permanent
07/20/2020,07/15/2020,08/19/2020,Blackhawk Country Club-Dnvll,Danville,Contra Costa County ,58,Layoff Temporary
08/13/2020,09/30/2020,08/19/2020,GEO Secure Services dba McFarland Female Reentry Facility,Mc Farland,Kern County ,97,Layoff Permanent
04/23/2020,04/23/2020,08/19/2020,"Unical Aviation, Inc.",City of Industry,Los Angeles County ,11,Layoff Temporary
07/31/2020,03/16/2020,08/19/2020,Double Tree by Hilton Hotel & Spa Napa Valley-American Canyon,American Canyon,Napa County ,71,Layoff Temporary
03/20/2020,03/21/2020,08/19/2020,Meadowood Napa Valley,Saint Helena,Napa County ,265,Layoff Temporary
04/21/2020,04/09/2020,08/19/2020,Hardin Honda,Anaheim,Orange County ,20,Layoff Permanent
07/20/2020,07/31/2020,08/19/2020,"Safran Electronics & Defense Avionics USA, LLC",Costa Mesa,Orange County ,132,Layoff Temporary
08/14/2020,08/14/2020,08/19/2020,"California Dinner Entertainment, LLC dba Pirates Dinner Adventure",Buena Park,Orange County ,230,Layoff Permanent
07/27/2020,07/31/2020,08/19/2020,Marriott Fullerton at California State,Fullerton,Orange County ,10,Layoff Permanent
07/31/2020,08/01/2020,08/19/2020,"Blue Bottle Coffee, Inc.",San Mateo,San Mateo County ,5,Layoff Temporary
